"SINTA_ID","Nama","id_univ","Universitas","id_dept","Departemen","Subject List","SINTA_Score_Overall","Scopus_Artikel","GScholar_Artikel"
"6735260","JONI WILSON SITOPU","583","Universitas Simalungun","84205","S1 - Pendidikan Biologi","matematika, operasi riset, statistika, IT, pendidikan","953","2","57"
"6019262","SAMSUL ANWAR","442","Universitas Syiah Kuala","49201","S1 - Statistika","Statistics, Time Series, Machine Learning, Biostatistics, Survival Analysis","1.279","37","88"
"5993523","PURHADI","417","Institut Teknologi Sepuluh Nopember","49001","S3 - Ilmu Statistik","Statistics","1.960","76","0"
"5977664","ADJI ACHMAD RINALDO FERNANDES","404","Universitas Brawijaya","49201","S1 - Statistika","Statistics","2.072","85","107"
"6736382","AMAANO FAU","8244516","Universitas Nias Raya","U1","Unknown","Biologi, Kimia Dasar, Biokimia, Statistik","762","0","23"
"6136049","AHMAD FAUZI","2053","Universitas Muhammadiyah Malang","84205","S1 - Pendidikan Biologi","Genetics, Education, Statistics, Research Methodology","1.207","34","112"
"6031353","I MADE SUMERTAJAYA","428","Institut Pertanian Bogor","U1","Unknown","Statistics","1.373","40","191"
"6082895","YUSUF HARTONO","440","Universitas Sriwijaya","84102","S2 - Pendidikan Matematika","number theory, probability, statistics","2.058","53","297"
"6659476","DI ASIH I MARUDDANI","6","Universitas Diponegoro","49201","S1 - Statistika","Statistics","1.241","22","139"
"5993618","SRI SUBANTI","8","Universitas Sebelas Maret","49201","S1 - Statistika","Statistics, Tourism, Household Economics","1.804","69","253"
"6102394","WILSON RAJAGUKGUK","405","Universitas Kristen Indonesia","U1","Unknown","Ilmu Ekonomi, Demografi, Ekonometri, Statistik","803","0","131"
"6662629","ELLY RASMIKAYATI","481","Universitas Padjadjaran","46105","S2 - Manajemen Sumber Daya Hayati","Ekonomi, Sosial, Pertanian, Statistika, Matematika","1.247","5","108"
"29080","SUHARTONO","417","Institut Teknologi Sepuluh Nopember","U1","Unknown","Statistics, Time Series Forecasting, Neural Network, Fuzzy Time Series, Spatio-Temporal Model","3.630","145","260"
"6027763","DIAN LESTARI","430","Universitas Indonesia","94203","S1 - Ilmu Aktuaria","Statistics, Applied Mathematics, Bioinformatics","1.336","48","55"
"5989843","GANGGA ANURAGA","2077","Universitas PGRI Adi Buana Surabaya","49201","S1 - Statistika","Statistics, Bioinformatics, Computational Biology","1.060","27","50"
"6740089","HARIZAHAYU","540","Politeknik Negeri Medan","57401","D3 - Manajemen Informatika","Mathematics, Statistics, Biostatistics, Education Mathematics","624","2","40"
"5976031","KHAIRIL ANWAR NOTODIPUTRO","428","Institut Pertanian Bogor","U1","Unknown","Statistics","1.712","58","185"
"6025545","RAHMAT HIDAYAT","2564","Universitas Cokroaminoto Palopo","84102","S2 - Pendidikan Matematika","Statistics, Non and Semi Parametric Regression, Survival Analysis","1.761","6","20"
"5979213","MAMAT RUHIMAT","414","Universitas Pendidikan Indonesia","87001","S3 - Pendidikan Ilmu Pengetahuan Sosial","Geografi Penduduk, Evaluasi Pembelajaran Geografi, Demografi, Statistika","1.554","25","110"
"6030767","WINITA SULANDARI","8","Universitas Sebelas Maret","49201","S1 - Statistika","statistics","952","24","62"
"6790649","UMI MAHMUDAH","8244628","Universitas Islam Negeri K.H. Abdurrahman Wahid Pekalongan","86132","S2 - Pendidikan Guru Madrasah Ibtidaiyah","Statistics, Mathematics, Education","668","7","75"
"5975998","ALAN PRAHUTAMA","6","Universitas Diponegoro","49201","S1 - Statistika","Statistic","1.497","38","152"
"6166055","MUSTOFA USMAN","398","Universitas Lampung","44001","S3 - Matematika dan Ilmu Pengetahuan Alam","Statistics","1.086","46","293"
"6013283","ISNANDAR SLAMET","8","Universitas Sebelas Maret","49201","S1 - Statistika","Statistics","1.516","69","144"
"6021664","ARY KISWANTO KENEDI","515","Universitas Samudra","86206","S1 - Pendidikan Guru Sekolah Dasar","Matematika, IPA, Metodologi Penelitian, Statistika, Pendidikan Dasar","1.050","15","92"
"5974220","DENIS FIDITA KARYA","2106","Universitas Nahdlatul Ulama Surabaya","61201","S1 - Manajemen","Manajemen, Statistik, Matematika","793","20","74"
"6101062","ARNITA","500","Universitas Negeri Medan","55201","S1 - Ilmu Komputer","statistics, optimization, analysis multivariate","653","14","27"
"6653768","SISWANDARI","8","Universitas Sebelas Maret","87003","S3 - Pendidikan Ekonomi","Statistik","766","21","93"
"6646309","ABAS HIDAYAT","1561","Sekolah Tinggi Ilmu Kesehatan Cirebon","14201","S1 - Ilmu Keperawatan","Pendidikan, Matematika, Statistik, Social Science, Multidisiplin","604","6","31"
"6023403","RUSLI","436","Universitas Negeri Makassar","84102","S2 - Pendidikan Matematika","Matematika, Pendidikan Matematika, Statistika, dan Ilmu Pendididkan","833","12","73"
"67398","JUNAIDI","491","Universitas Jambi","60001","S3 - Ilmu Ekonomi","economics, population studies, regional economics, econometrics, statistics","1.042","5","179"
"6030258","ANIK DJURAIDAH","428","Institut Pertanian Bogor","49101","S2 - Statistika dan Sains Data","Statistics","1.475","48","154"
"6713829","BOBBY RACHMAT SAEFUDIN","8425","Universitas Ma'soem","54201","S1 - Agribisnis","Agricultural economics, agribusiness, statistics, mathematics","770","3","82"
"6671381","HENDRYADI","1118","Sekolah Tinggi Ilmu Ekonomi Indonesia Jakarta","61201","S1 - Manajemen","Research methods, statistics, workplace incivility, islamic work ethics, content validity","1.029","16","56"
"6000619","DADAN DASARI","414","Universitas Pendidikan Indonesia","84102","S2 - Pendidikan Matematika","Mathematics Education, Statistics, Statistical reasoning, Experimental Design","679","22","122"
"6033157","MUSTAFID","6","Universitas Diponegoro","55002","S3 - Sistem Informasi","Statistics, Information Systems, Business Intelligent","1.285","36","115"
"10702","SUTRISNO","18","Universitas PGRI Semarang","86206","S1 - Pendidikan Guru Sekolah Dasar","Pendidikan Matematika, Statistika","856","5","65"
