"id_dept","id_univ","Departemen"
"49201","492","S1 - Statistika"
"61201","834","S1 - Manajemen"
"44201","3515","S1 - Matematika"
"55201","1119","S1 - Teknik Informatika"
"22201","592","S1 - Teknik Sipil"
"86206","497","S1 - Pendidikan Guru Sekolah Dasar"
"U1","3511","Unknown"
"24201","527","S1 - Teknik Kimia"
"61101","1154","S2 - Manajemen"
"49201","2117","S1 - Statistika"
"84102","1399","S2 - Pendidikan Matematika"
"36301","550","D4 - Teknik Desain Dan Manufaktur"
"21201","477","S1 - Teknik Mesin"
"49201","52","S1 - Statistika"
"49201","380","S1 - Statistika"
"84202","2076","S1 - Pendidikan Matematika"
"60202","1114","S1 - Ekonomi Syariah"
"49201","1392","S1 - Statistika"
"U1","391","Unknown"
"57201","1061","S1 - Sistem Informasi"
"54201","442","S1 - Agribisnis"
"84202","2585","S1 - Pendidikan Matematika"
"49501","4328","D4 - Statistika"
"44201","438","S1 - Matematika"
"94203","417","S1 - Sains Aktuaria"
"57201","1066","S1 - Sistem Informasi"
"26201","228","S1 - Teknik Industri"
"61201","1395","S1 - Manajemen"
"84202","4781","S1 - Pendidikan Matematika"
"62201","2365","S1 - Akuntansi"
